11:24,Hobart,TR,TR,1,2,SEVEN FALLS,--,1.70,1.10,1,BAG OF MONKEYS,--,3.10,1.30,4,ENSHROUD,1st,9.60,3.90,3,HOLD ONTO YOUR HAT,2nd,12.60,5.20,INTERIM
11:59,Hobart,TR,TR,2,4,GEE GEES TOP NOTCH,100,3.20,1.90,3,SIORCA,80,5.70,1.30,5,GEEGEES DOUBLE JO,60,5.30,3.50,10,GEEGEES GRAN LODGE,40,25.50,3.30,SELLING
12:03,Mackay,QR,QR,1,4,CRAIGLEA ZIP,100,3.30,1.30,7,CRAIGLEA GEM,80,9.10,4.60,3,BETTY ISABEL,60,4.40,2.30,5,FALVELON DANCER,40,11.70,4.60,SELLING
12:08,Kembla Grange,NR,NR,1,2,PINCER STRIKE,100,5.70,1.70,4,ELENI WHIRL,80,8.70,2.70,12,PURITY MISS,60,8.10,2.40,3,ELEVATES,40,3.40,2.00,SELLING
12:13,Swan Hill,ZR,ZR,1,8,NORSIKA,100,5.50,1.40,9,SPLIT THE ZEROES,80,11.50,5.00,2,INLET,60,32.80,11.60,4,QUEEN OF ULTIMA,40,25.90,3.50,SELLING
12:26,Kyneton,VR,VR,2,2,GET YA KICKS,100,2.20,1.60,1,FARAJA,80,3.80,2.20,4,COOL,60,7.30,2.00,5,FORTHEFUNOFIT,40,6.60,2.60,SELLING
12:35,Hobart,TR,TR,3,10,HYPERBOLE,100,6.60,3.60,3,ETOWN,80,7.20,1.90,11,MISS MARS,60,3.40,1.00,13,ISLANDSINTHESTREAM,40,14.10,2.50,SELLING
12:39,Mackay,QR,QR,2,6,FAST ANNIE,100,9.90,2.20,1,BENEDIRE,80,1.60,4.30,7,HARRY MET SANDY,60,8.40,1.00,5,UNCHAIN JAYNE,40,11.50,3.30,SELLING
12:44,Kembla Grange,NR,NR,2,11,CRIMSON GOD,100,1.60,1.20,3,EXMAN,80,19.30,4.20,7,NORTHERN STORM,60,6.90,1.10,5,LAST TRY WINS,40,16.70,3.50,SELLING
12:53,Sunshine Coast,BR,BR,1,7,SWEET REPEAT,100,3.40,1.50,1,COUNTER MEAL,80,5.60,1.90,2,ELEMENTAL BOY,60,6.60,3.10,3,LATE PAYMENT,40,5.00,2.80,SELLING
