11:00,Ipswich,BR,BR,1,13,OCEANTES,100,0.0,0.0,3,MOE'S TAVERN,73,0.0,0.0,10,WHATALOVELYDAY,52,0.0,0.0,5,STONECAST,35,0.0,0.0
11:35,Ipswich,BR,BR,2,3,NAZAR ROYALE,100,0.0,0.0,2,MACSPICK,76,0.0,0.0,4,STARWOOD,66,0.0,0.0,6,UMGENI,44,0.0,0.0
12:10,Ipswich,BR,BR,3,3,SIROCAN,100,0.0,0.0,4,WAR ROBE,79,0.0,0.0,12,MISS WAR TRACE,56,0.0,0.0,1,DUNRUNIN,40,0.0,0.0
12:20,Mornington,VR,VR,1,3,ABSOLUTELYCERTAIN,100,0.0,0.0,2,BELLE MELBA,84,0.0,0.0,6,PEPPERMINT LANE,61,0.0,0.0,4,PUZZLE,44,0.0,0.0
12:28,Murray Bridge,AR,AR,1,2,REAL TESS,100,0.0,0.0,6,I DREAM OF GINA,83,0.0,0.0,1,CALIFORNIAN DEVIL,61,0.0,0.0,5,CON NOW,39,0.0,0.0
12:38,Canterbury,SR,SR,1,10,WEDDING,100,0.0,0.0,1,ALMAHSTIQUE,83,0.0,0.0,3,ELECTRIFYIN',62,0.0,0.0,7,RAQ ATTACK,45,0.0,0.0
12:45,Ipswich,BR,BR,4,6,STAROCITY,100,0.0,0.0,2,PUDMARDELS,73,0.0,0.0,11,FASHION STAGE,65,0.0,0.0,10,PETRANI,31,0.0,0.0
12:55,Mornington,VR,VR,2,6,DIAMOND DRAGON,100,0.0,0.0,10,WONDERFUL JOURNEY,88,0.0,0.0,4,ZIGGY MARTINI,55,0.0,0.0,2,SAY SOMETHING,46,0.0,0.0
13:03,Murray Bridge,AR,AR,2,9,RICH RUPEE,100,0.0,0.0,3,EMCEECEE,78,0.0,0.0,7,SOUL FIRE,62,0.0,0.0,6,LOVE MOSCHINO,34,0.0,0.0
13:13,Canterbury,SR,SR,2,1,EVENTIDE,100,0.0,0.0,5,SHENGLI,76,0.0,0.0,10,MISTY LIGHTS,55,0.0,0.0,7,STORM SIREN,43,0.0,0.0
