12:03,Queanbeyan,1,3,MONARCHY,--,1,QUIETLY BRILLIANT,1st,5,TRIPLE BOLT,--,2,ON TAP,--,OR
12:15,Rosehill,1,7,RIGHT OF WAY,--,1,GUD ONYA,--,2,KIWI BOSS,--,5,SAMPEAH,1st,SR
12:30,Hawkesbury,1,8,SMOOTH ELEMENT,--,1,SHAMA DE ORO,--,3,TYPHOON JOLIE,1st,6,ATTRACTION,--,NR
12:38,Queanbeyan,2,3,LOYAL TOAST,2nd,4,FASUKA,--,1,BUTTERFLY SKY,--,6,HEY PORTER,3rd,OR
12:46,Gold Coast,1,6,MIA MADALENA,--,4,COUNTING CARDS,--,1,DREAMER'S GOAL,--,3,BELVIVE,--,QR
12:50,Rosehill,2,6,INVITATIONS,--,2,LOCKROY,--,5,I AM IMPRESSED,3rd,8,QUEEN OF KARIBA,--,SR
13:05,Hawkesbury,2,2,CENTRO SUPERIOR,2nd,6,RAISE A RED,1st,1,CHARLIE ROYALE,--,4,GOT YOU DOUBLE,--,NR
13:13,Queanbeyan,3,3,HERCEGOVKA,1st,4,CALL ME UP,--,7,MRS WILLY NILLY,--,8,PROPOSITION,2nd,OR
13:21,Gold Coast,2,4,STARSTREAMED,--,1,LE VAL,1st,2,THE BLACK SUPERMAN,--,5,TORERO,2nd,QR
13:23,Cowra,1,9,MISS HIERONYMUS,--,8,FLY FOR RYLIE,--,3,NIGHT TIME LOVER,1st,6,SUBWAY SURFER,2nd,CR
13:25,Rosehill,3,3,DUBLIN LASS,1st,8,VANILLA PRINCESS,--,4,MESMEREYESER,--,5,BELANNORO,--,SR
13:59,Cowra,2,1,DASHEXPRESS,3rd,3,STRONG,--,4,DUBAI BULLET,2nd,2,TYSON'S TIGER,--,CR
14:56,Hawkesbury,5,1,READY SET SING,100,4,BONDO,80,3,THE BROK,60,5,VENCEDORA,40,NR
15:05,Queanbeyan,6,2,ROSE OF FALVELON,100,3,REIGNS ABOVE,80,6,SPANISH SHOES,60,9,SHIVARCHI,40,OR
15:20,Gold Coast,5,7,INTRONATI,100,1,ELMOTINO,67,9,WATASTORY,50,6,GENERAL JOHN,33,QR
