12:20,Hamilton,VR,VR,1,2,SPUNLAGO,1st,7.00,3.70,7,HOT LITTLE VIXEN,--,5.60,2.50,8,MARVEDO,--,3.90,1.80,5,DJANIRA,--,27.80,7.80,PAYING
12:38,Taree,NR,NR,1,3,LOHGAIRO,1st,5.20,1.90,2,SECRET WEB,--,4.60,1.80,6,MOSSHAPPEN,2nd,2.70,1.30,4,GONE ROMIN,--,5.80,1.30,PAYING
13:13,Taree,NR,NR,2,1,IN TOP GEAR,--,11.70,2.20,4,ESGRIMIDOR,1st,2.80,1.40,2,YUPIK,2nd,3.70,1.40,7,TURNING GREY,--,7.50,2.40,PAYING
13:30,Hamilton,VR,VR,3,5,BOMBER MISS,--,2.00,1.10,6,GOLDEN PERFUME,3rd,15.80,2.40,8,SATELLITE MISS,1st,3.00,1.30,2,KING CALLAGHAN,--,42.90,6.50,PAYING
13:48,Taree,NR,NR,3,9,HESCO GOLD,1st,5.30,1.80,7,MICKEY CAN DO,2nd,4.20,1.60,1,BOLD LIFE,--,5.80,1.80,11,SNITZEL'S LASS,3rd,4.70,1.90,PAYING
14:05,Hamilton,VR,VR,4,9,ZARA'S BALCONY,3rd,4.80,1.60,7,SERENE PEARL,--,4.10,1.40,1,ALLTORI,--,15.00,3.60,11,MARTHA'S MOMENT,--,8.80,2.20,PAYING
14:40,Hamilton,VR,VR,5,5,UNION REP,--,8.40,2.00,1,BON GENRE,--,4.50,1.70,9,MR SPEAKER,3rd,24.00,5.20,6,OUR MIRACLE,--,10.50,3.00,PAYING
15:20,Hamilton,VR,VR,6,2,CANYOUKEEPASECRET,100,2.10,1.10,8,DADDY'S LITTLELADY,84,11.00,2.20,7,THE BLONDE ALIBI,67,6.30,2.00,14,VIXENITE,35,70.10,7.60,SELLING
15:38,Taree,NR,NR,6,3,STAR OF LEGS,100,3.60,1.00,6,EMMA JEAN,84,3.20,1.00,5,GONE PLATINUM,56,7.70,5.00,7,ROCCHETTA MISS,34,8.20,2.40,SELLING
16:00,Hamilton,VR,VR,7,2,STATUE OF GLORY,100,10.40,3.30,9,HAPPY VALENTINE,86,5.90,2.10,7,QUEUE FOR QUALITY,52,17.90,4.90,10,SCRUNCHIE,33,9.10,3.10,SELLING
